firstname,phone,notes
John Doe,+1234567890,Follow up on sales inquiry
Jane Smith,+1987654321,Product demonstration scheduled
Mike Johnson,+1555123456,Contract renewal discussion
Sarah Wilson,+1444333222,Technical support request
David Brown,+1777888999,New client onboarding
Lisa Davis,+1666777888,Quarterly review meeting
Tom Miller,+1888999000,Competitor analysis needed
Amy Garcia,+1222333444,Marketing campaign feedback
Chris Rodriguez,+1999000111,Budget approval required
Maria Martinez,+1111222333,Team training session
Robert Anderson,+1444555666,Project milestone review
Jennifer Taylor,+1777888999,Client satisfaction survey
Michael Thomas,+1333444555,Strategic planning meeting
Jessica Lee,+1666777888,Performance evaluation
Daniel White,+1888999000,Resource allocation discussion 
